Request Time,Type,Room,Timeslot,Status,
1,BOOK,4,17:00-18:30,0,
2,BOOK,1,14:00-15:30,0,
3,CANCEL,5,18:30-20:00,-3,
4,BOOK,4,14:00-15:30,0,
5,BOOK,4,15:30-17:00,0,
6,CANCEL,5,12:30-14:00,-3,
7,BOOK,5,11:00-12:30,0,
8,BOOK,3,11:00-12:30,0,
9,CANCEL,1,14:00-15:30,-2,
10,GET,,,0,"{('4', '15:30-17:00'), ('5', '11:00-12:30'), ('4', '17:00-18:30'), ('1', '14:00-15:30'), ('4', '14:00-15:30'), ('3', '11:00-12:30')}"
11,BOOK,5,11:00-12:30,-1,
12,CANCEL,3,09:30-11:00,-3,
13,BOOK,1,15:30-17:00,0,
14,BOOK,4,09:30-11:00,0,
15,CANCEL,3,17:00-18:30,-3,
16,BOOK,3,12:30-14:00,0,
17,BOOK,5,18:30-20:00,0,
18,CANCEL,4,14:00-15:30,-2,
19,BOOK,1,08:00-09:30,0,
20,GET,,,0,"{('1', '15:30-17:00'), ('5', '18:30-20:00'), ('4', '15:30-17:00'), ('3', '12:30-14:00'), ('5', '11:00-12:30'), ('1', '08:00-09:30'), ('4', '17:00-18:30'), ('1', '14:00-15:30'), ('4', '14:00-15:30'), ('3', '11:00-12:30'), ('4', '09:30-11:00')}"
21,CANCEL,1,17:00-18:30,-3,
22,BOOK,1,18:30-20:00,0,
23,BOOK,3,12:30-14:00,-1,
24,CANCEL,3,09:30-11:00,-3,
25,BOOK,2,12:30-14:00,0,
26,BOOK,2,11:00-12:30,0,
27,CANCEL,5,18:30-20:00,-2,
28,BOOK,1,09:30-11:00,0,
29,BOOK,3,18:30-20:00,0,
30,GET,,,0,"{('1', '15:30-17:00'), ('5', '18:30-20:00'), ('4', '15:30-17:00'), ('2', '11:00-12:30'), ('3', '12:30-14:00'), ('5', '11:00-12:30'), ('1', '09:30-11:00'), ('3', '18:30-20:00'), ('1', '08:00-09:30'), ('4', '17:00-18:30'), ('2', '12:30-14:00'), ('1', '14:00-15:30'), ('4', '14:00-15:30'), ('3', '11:00-12:30'), ('4', '09:30-11:00'), ('1', '18:30-20:00')}"
31,BOOK,1,14:00-15:30,-1,
32,BOOK,5,14:00-15:30,0,
33,CANCEL,1,15:30-17:00,0,
34,BOOK,5,12:30-14:00,0,
35,BOOK,5,14:00-15:30,-1,
36,CANCEL,4,09:30-11:00,0,
37,BOOK,5,17:00-18:30,0,
38,BOOK,3,12:30-14:00,-1,
39,CANCEL,3,11:00-12:30,0,
40,GET,,,0,"{('2', '11:00-12:30'), ('1', '14:00-15:30'), ('1', '18:30-20:00'), ('3', '12:30-14:00'), ('5', '17:00-18:30'), ('1', '08:00-09:30'), ('4', '17:00-18:30'), ('5', '12:30-14:00'), ('4', '15:30-17:00'), ('3', '18:30-20:00'), ('2', '12:30-14:00'), ('5', '14:00-15:30'), ('4', '14:00-15:30'), ('5', '18:30-20:00'), ('5', '11:00-12:30'), ('1', '09:30-11:00')}"
41,BOOK,2,11:00-12:30,-1,
42,CANCEL,1,14:00-15:30,0,
43,BOOK,4,09:30-11:00,0,
44,BOOK,1,11:00-12:30,0,
45,CANCEL,2,08:00-09:30,-3,
46,BOOK,1,17:00-18:30,0,
47,BOOK,5,14:00-15:30,-1,
48,CANCEL,5,12:30-14:00,-2,
49,BOOK,2,17:00-18:30,0,
50,GET,,,0,"{('2', '11:00-12:30'), ('1', '18:30-20:00'), ('3', '12:30-14:00'), ('5', '17:00-18:30'), ('1', '11:00-12:30'), ('1', '08:00-09:30'), ('4', '17:00-18:30'), ('5', '12:30-14:00'), ('4', '09:30-11:00'), ('4', '15:30-17:00'), ('2', '17:00-18:30'), ('3', '18:30-20:00'), ('2', '12:30-14:00'), ('5', '14:00-15:30'), ('4', '14:00-15:30'), ('5', '18:30-20:00'), ('5', '11:00-12:30'), ('1', '17:00-18:30'), ('1', '09:30-11:00')}"
51,CANCEL,5,14:00-15:30,-2,
52,BOOK,4,18:30-20:00,0,
53,BOOK,3,09:30-11:00,0,
54,CANCEL,3,09:30-11:00,-2,
55,BOOK,4,15:30-17:00,-1,
56,BOOK,2,12:30-14:00,-1,
57,CANCEL,1,14:00-15:30,-3,
58,BOOK,1,12:30-14:00,0,
59,BOOK,3,11:00-12:30,0,
60,GET,,,0,"{('2', '11:00-12:30'), ('1', '18:30-20:00'), ('3', '09:30-11:00'), ('3', '12:30-14:00'), ('5', '17:00-18:30'), ('1', '11:00-12:30'), ('1', '08:00-09:30'), ('4', '17:00-18:30'), ('5', '12:30-14:00'), ('4', '09:30-11:00'), ('4', '15:30-17:00'), ('2', '17:00-18:30'), ('3', '18:30-20:00'), ('2', '12:30-14:00'), ('5', '14:00-15:30'), ('4', '14:00-15:30'), ('3', '11:00-12:30'), ('4', '18:30-20:00'), ('5', '18:30-20:00'), ('5', '11:00-12:30'), ('1', '17:00-18:30'), ('1', '12:30-14:00'), ('1', '09:30-11:00')}"
61,BOOK,3,17:00-18:30,0,
62,BOOK,1,09:30-11:00,-1,
63,CANCEL,2,12:30-14:00,0,
64,BOOK,1,09:30-11:00,-1,
65,BOOK,1,09:30-11:00,-1,
66,CANCEL,2,09:30-11:00,-3,
67,BOOK,4,09:30-11:00,-1,
68,BOOK,3,09:30-11:00,-1,
69,CANCEL,1,08:00-09:30,0,
70,GET,,,0,"{('2', '11:00-12:30'), ('3', '17:00-18:30'), ('1', '18:30-20:00'), ('3', '09:30-11:00'), ('3', '12:30-14:00'), ('5', '17:00-18:30'), ('1', '11:00-12:30'), ('4', '17:00-18:30'), ('5', '12:30-14:00'), ('4', '09:30-11:00'), ('4', '15:30-17:00'), ('2', '17:00-18:30'), ('3', '18:30-20:00'), ('5', '14:00-15:30'), ('4', '14:00-15:30'), ('3', '11:00-12:30'), ('4', '18:30-20:00'), ('5', '18:30-20:00'), ('5', '11:00-12:30'), ('1', '17:00-18:30'), ('1', '12:30-14:00'), ('1', '09:30-11:00')}"
71,BOOK,2,11:00-12:30,-1,
72,CANCEL,1,18:30-20:00,0,
73,BOOK,2,08:00-09:30,0,
74,BOOK,1,17:00-18:30,-1,
75,CANCEL,5,09:30-11:00,-3,
76,BOOK,3,09:30-11:00,-1,
77,BOOK,2,09:30-11:00,0,
78,CANCEL,3,15:30-17:00,-3,
79,BOOK,4,11:00-12:30,0,
80,GET,,,0,"{('2', '11:00-12:30'), ('2', '08:00-09:30'), ('3', '17:00-18:30'), ('3', '09:30-11:00'), ('3', '12:30-14:00'), ('5', '17:00-18:30'), ('1', '11:00-12:30'), ('4', '17:00-18:30'), ('5', '12:30-14:00'), ('4', '09:30-11:00'), ('4', '15:30-17:00'), ('2', '17:00-18:30'), ('3', '18:30-20:00'), ('5', '14:00-15:30'), ('2', '09:30-11:00'), ('4', '14:00-15:30'), ('3', '11:00-12:30'), ('4', '18:30-20:00'), ('5', '18:30-20:00'), ('5', '11:00-12:30'), ('1', '17:00-18:30'), ('4', '11:00-12:30'), ('1', '12:30-14:00'), ('1', '09:30-11:00')}"
81,CANCEL,1,18:30-20:00,-3,
82,BOOK,1,09:30-11:00,-1,
83,BOOK,4,12:30-14:00,0,
84,CANCEL,3,15:30-17:00,-3,
85,BOOK,4,11:00-12:30,-1,
86,BOOK,2,08:00-09:30,-1,
87,CANCEL,2,11:00-12:30,0,
88,BOOK,3,14:00-15:30,0,
89,BOOK,1,18:30-20:00,0,
90,GET,,,0,"{('2', '08:00-09:30'), ('3', '17:00-18:30'), ('1', '18:30-20:00'), ('3', '09:30-11:00'), ('3', '12:30-14:00'), ('5', '17:00-18:30'), ('1', '11:00-12:30'), ('4', '17:00-18:30'), ('5', '12:30-14:00'), ('4', '12:30-14:00'), ('4', '09:30-11:00'), ('4', '15:30-17:00'), ('3', '14:00-15:30'), ('2', '17:00-18:30'), ('3', '18:30-20:00'), ('5', '14:00-15:30'), ('2', '09:30-11:00'), ('4', '14:00-15:30'), ('3', '11:00-12:30'), ('4', '18:30-20:00'), ('5', '18:30-20:00'), ('5', '11:00-12:30'), ('1', '17:00-18:30'), ('4', '11:00-12:30'), ('1', '12:30-14:00'), ('1', '09:30-11:00')}"
91,BOOK,2,08:00-09:30,-1,
92,BOOK,4,17:00-18:30,-1,
93,CANCEL,5,14:00-15:30,0,
94,BOOK,3,17:00-18:30,-1,
95,BOOK,3,11:00-12:30,-1,
96,CANCEL,5,08:00-09:30,-3,
97,BOOK,4,09:30-11:00,-1,
98,BOOK,3,08:00-09:30,0,
99,CANCEL,5,14:00-15:30,-3,
100,GET,,,0,"{('2', '08:00-09:30'), ('3', '17:00-18:30'), ('1', '18:30-20:00'), ('3', '09:30-11:00'), ('3', '12:30-14:00'), ('5', '17:00-18:30'), ('1', '11:00-12:30'), ('4', '17:00-18:30'), ('5', '12:30-14:00'), ('4', '12:30-14:00'), ('4', '09:30-11:00'), ('4', '15:30-17:00'), ('3', '14:00-15:30'), ('2', '17:00-18:30'), ('3', '18:30-20:00'), ('2', '09:30-11:00'), ('4', '14:00-15:30'), ('3', '11:00-12:30'), ('3', '08:00-09:30'), ('4', '18:30-20:00'), ('5', '18:30-20:00'), ('5', '11:00-12:30'), ('1', '17:00-18:30'), ('4', '11:00-12:30'), ('1', '12:30-14:00'), ('1', '09:30-11:00')}"
101,BOOK,2,12:30-14:00,0,
102,CANCEL,4,15:30-17:00,0,
103,BOOK,5,14:00-15:30,0,
104,BOOK,3,11:00-12:30,-1,
105,CANCEL,3,17:00-18:30,0,
106,BOOK,4,09:30-11:00,-1,
107,BOOK,1,12:30-14:00,-1,
108,CANCEL,3,11:00-12:30,0,
109,BOOK,2,12:30-14:00,-1,
110,GET,,,0,"{('2', '08:00-09:30'), ('1', '18:30-20:00'), ('3', '09:30-11:00'), ('3', '12:30-14:00'), ('5', '17:00-18:30'), ('1', '11:00-12:30'), ('4', '17:00-18:30'), ('5', '12:30-14:00'), ('4', '12:30-14:00'), ('4', '09:30-11:00'), ('3', '14:00-15:30'), ('2', '17:00-18:30'), ('3', '18:30-20:00'), ('2', '12:30-14:00'), ('2', '09:30-11:00'), ('5', '14:00-15:30'), ('4', '14:00-15:30'), ('3', '08:00-09:30'), ('4', '18:30-20:00'), ('5', '18:30-20:00'), ('5', '11:00-12:30'), ('1', '17:00-18:30'), ('4', '11:00-12:30'), ('1', '12:30-14:00'), ('1', '09:30-11:00')}"
111,CANCEL,4,17:00-18:30,0,
112,BOOK,5,17:00-18:30,-1,
113,BOOK,1,17:00-18:30,-1,
114,CANCEL,5,17:00-18:30,0,
115,BOOK,1,11:00-12:30,-1,
116,BOOK,4,09:30-11:00,-1,
117,CANCEL,3,11:00-12:30,-3,
118,BOOK,4,18:30-20:00,-1,
119,BOOK,5,08:00-09:30,0,
120,GET,,,0,"{('2', '08:00-09:30'), ('1', '18:30-20:00'), ('3', '09:30-11:00'), ('3', '12:30-14:00'), ('1', '11:00-12:30'), ('5', '12:30-14:00'), ('4', '12:30-14:00'), ('4', '09:30-11:00'), ('3', '14:00-15:30'), ('2', '17:00-18:30'), ('3', '18:30-20:00'), ('2', '12:30-14:00'), ('2', '09:30-11:00'), ('5', '14:00-15:30'), ('4', '14:00-15:30'), ('3', '08:00-09:30'), ('4', '18:30-20:00'), ('5', '18:30-20:00'), ('5', '11:00-12:30'), ('1', '17:00-18:30'), ('4', '11:00-12:30'), ('5', '08:00-09:30'), ('1', '12:30-14:00'), ('1', '09:30-11:00')}"
121,BOOK,1,18:30-20:00,-1,
122,BOOK,3,14:00-15:30,-1,
123,CANCEL,4,08:00-09:30,-3,
124,BOOK,4,12:30-14:00,-1,
125,BOOK,5,09:30-11:00,0,
126,CANCEL,2,08:00-09:30,0,
127,BOOK,4,17:00-18:30,0,
128,BOOK,3,08:00-09:30,-1,
129,CANCEL,2,08:00-09:30,-3,
130,GET,,,0,"{('1', '18:30-20:00'), ('3', '09:30-11:00'), ('3', '12:30-14:00'), ('1', '11:00-12:30'), ('4', '17:00-18:30'), ('5', '12:30-14:00'), ('5', '09:30-11:00'), ('4', '12:30-14:00'), ('4', '09:30-11:00'), ('3', '14:00-15:30'), ('2', '17:00-18:30'), ('3', '18:30-20:00'), ('2', '12:30-14:00'), ('2', '09:30-11:00'), ('5', '14:00-15:30'), ('4', '14:00-15:30'), ('3', '08:00-09:30'), ('4', '18:30-20:00'), ('5', '18:30-20:00'), ('5', '11:00-12:30'), ('1', '17:00-18:30'), ('4', '11:00-12:30'), ('5', '08:00-09:30'), ('1', '12:30-14:00'), ('1', '09:30-11:00')}"
131,BOOK,1,09:30-11:00,-1,
132,CANCEL,2,09:30-11:00,0,
133,BOOK,5,12:30-14:00,-1,
134,BOOK,3,14:00-15:30,-1,
135,CANCEL,2,09:30-11:00,-3,
136,BOOK,4,17:00-18:30,-1,
137,BOOK,1,08:00-09:30,0,
138,CANCEL,3,18:30-20:00,0,
139,BOOK,1,14:00-15:30,0,
140,GET,,,0,"{('1', '14:00-15:30'), ('1', '18:30-20:00'), ('3', '09:30-11:00'), ('3', '12:30-14:00'), ('1', '11:00-12:30'), ('1', '08:00-09:30'), ('4', '17:00-18:30'), ('5', '12:30-14:00'), ('5', '09:30-11:00'), ('4', '12:30-14:00'), ('4', '09:30-11:00'), ('3', '14:00-15:30'), ('2', '17:00-18:30'), ('2', '12:30-14:00'), ('5', '14:00-15:30'), ('4', '14:00-15:30'), ('3', '08:00-09:30'), ('4', '18:30-20:00'), ('5', '18:30-20:00'), ('5', '11:00-12:30'), ('1', '17:00-18:30'), ('4', '11:00-12:30'), ('5', '08:00-09:30'), ('1', '12:30-14:00'), ('1', '09:30-11:00')}"
141,CANCEL,2,15:30-17:00,-3,
142,BOOK,1,11:00-12:30,-1,
143,BOOK,3,08:00-09:30,-1,
144,CANCEL,1,08:00-09:30,-2,
145,BOOK,2,14:00-15:30,0,
146,BOOK,5,15:30-17:00,0,
147,CANCEL,3,08:00-09:30,0,
148,BOOK,5,18:30-20:00,-1,
149,BOOK,4,17:00-18:30,-1,
150,GET,,,0,"{('1', '14:00-15:30'), ('1', '18:30-20:00'), ('3', '09:30-11:00'), ('3', '12:30-14:00'), ('1', '11:00-12:30'), ('1', '08:00-09:30'), ('4', '17:00-18:30'), ('5', '12:30-14:00'), ('5', '09:30-11:00'), ('4', '12:30-14:00'), ('4', '09:30-11:00'), ('5', '15:30-17:00'), ('3', '14:00-15:30'), ('2', '17:00-18:30'), ('2', '12:30-14:00'), ('5', '14:00-15:30'), ('4', '14:00-15:30'), ('4', '18:30-20:00'), ('5', '18:30-20:00'), ('5', '11:00-12:30'), ('1', '17:00-18:30'), ('4', '11:00-12:30'), ('5', '08:00-09:30'), ('2', '14:00-15:30'), ('1', '12:30-14:00'), ('1', '09:30-11:00')}"
151,BOOK,3,11:00-12:30,0,
152,BOOK,2,17:00-18:30,-1,
153,CANCEL,5,14:00-15:30,0,
154,BOOK,1,11:00-12:30,-1,
155,BOOK,2,14:00-15:30,-1,
156,CANCEL,3,15:30-17:00,-3,
157,BOOK,3,09:30-11:00,-1,
158,BOOK,3,08:00-09:30,0,
159,CANCEL,1,14:00-15:30,0,
160,GET,,,0,"{('1', '18:30-20:00'), ('3', '09:30-11:00'), ('3', '12:30-14:00'), ('1', '11:00-12:30'), ('1', '08:00-09:30'), ('4', '17:00-18:30'), ('5', '12:30-14:00'), ('5', '09:30-11:00'), ('4', '12:30-14:00'), ('4', '09:30-11:00'), ('5', '15:30-17:00'), ('3', '14:00-15:30'), ('2', '17:00-18:30'), ('2', '12:30-14:00'), ('4', '14:00-15:30'), ('3', '11:00-12:30'), ('3', '08:00-09:30'), ('4', '18:30-20:00'), ('5', '18:30-20:00'), ('5', '11:00-12:30'), ('1', '17:00-18:30'), ('4', '11:00-12:30'), ('5', '08:00-09:30'), ('2', '14:00-15:30'), ('1', '12:30-14:00'), ('1', '09:30-11:00')}"
161,BOOK,2,11:00-12:30,0,
162,CANCEL,5,14:00-15:30,-3,
163,BOOK,3,17:00-18:30,0,
